Tên sản phẩm,Số sao,Xuất xứ,Loại sản phẩm,Hệ thống phân phối,Từ khóa,Trang Web,Mô tả
Nước cốt phúc bồn tử La Fresh,4,Lâm Đồng,Nước cốt phúc bồn tử,"Phân phối: https://lafreshdalat.vn/, các siêu thị, sàn thương mại điện tử","nước cốt phúc bồn tử La Fresh, phúc bồn tử, OCOP Lâm Đồng, OCOP 4 sao, đặc sản Lâm Đồng, La Fresh Đà Lạt",https://lafreshdalat.vn/,"Nước cốt phúc bồn tử La Fresh chứa các chất dinh dưỡng cần thiết cho cơ thể, giữ trọn vẹn những hương vị đặc trưng của trái cây. Sản phẩm đã được cấp chứng nhận OCOP 4 sao của tỉnh Lâm Đồng."
Nước cốt dâu tây La Fresh,4,Lâm Đồng,Nước cốt dâu tây,"https://lafreshdalat.vn/, các siêu thị, sàn thương mại điện tử","nước cốt dâu tây La Fresh, OCOP Lâm Đồng, OCOP 4 sao, đặc sản Lâm Đồng, dâu tây Đà Lạt, La Fresh Đà Lạt",https://lafreshdalat.vn/,"Nước cốt dâu tây La Fresh chứa các chất dinh dưỡng cần thiết cho cơ thể, giữ trọn vẹn những hương vị đặc trưng của trái cây. Sản phẩm đã được cấp chứng nhận OCOP 4 sao của tỉnh Lâm Đồng."
Trà atiso túi lọc Vĩnh Tiến,4,Lâm Đồng,Trà atiso,"https://vinhtientea.com/, các siêu thị, sàn thương mại điện tử","trà Atiso túi lọc Vĩnh Tiến, trà atiso, OCOP Lâm Đồng, OCOP 4 sao, đặc sản Lâm Đồng, atiso Lâm Đồng, Công ty Vĩnh Tiến",https://vinhtientea.com/,"Trà atiso túi lọc đặc sản Vĩnh Tiến được chế biến những cây hoa atiso tự nhiên trồng ở Đà Lạt, bảo đảm chất lượng tốt. Đây cũng là loại đồ uống giúp thanh lọc cơ thể, tốt cho sức khỏe. Sản phẩm đạt chuẩn OCOP 4 sao của tỉnh Lâm Đồng."
Cao mềm atiso Vĩnh Tiến,4,Lâm Đồng,Cao atiso,,"cao atiso, cao mềm atiso Vĩnh Tiến, OCOP Lâm Đồng, OCOP 4 sao, đặc sản Lâm Đồng, atiso Đà Lạt, Công ty Vĩnh Tiến",https://vinhtientea.com/,"Cao mềm atiso Vĩnh Tiến được sản xuất từ công nghệ cao giúp việc hấp thu khoáng chất dễ dàng hơn. Đây là sản phẩm cao cô đặc , tiện lợi và hiệu quả cao, giúp người sử dụng hấp thụ và chuyển hóa dễ dàng hơn các khoáng chất. Sản phẩm đã 2 lần được cấp chứng nhận OCOP 4 sao của tỉnh Lâm Đồng."
Tôm nõn Thu Hùng,3,Hà Tĩnh,Tôm nõn,"Phân phối qua các đại lý, cửa hàng nông sản, các chợ trên địa bàn trong và ngoài tỉnh","Tôm nõn Thu Hùng, Tôm nõn, OCOP 3 sao, OCOP Hà Tĩnh",https://www.facebook.com/HaiSanThuHung.vn/,"Tôm nõn Thu Hùng được chế biến hoàn toàn tự nhiên bằng sự cần cù và kinh nghiệm của Cơ sở chế biến thủy hải sản Thu Hùng. Với màu hồng đỏ tự nhiên ngon mắt cùng hương vị đậm đà, tôm nõn Thu Hùng làm hài lòng cả những người sành về ẩm thực lẫn các bà nội trợ khó tính. Sản phẩm đã được công nhận OCOP 3 sao của huyện Cẩm Xuyên, Hà Tĩnh."
Nước mắm Vinh Vân,3,Hà Tĩnh,,"Qua các đại lý, cửa hàng, trang mạng xã hội facebook, zalo...","nước mắm, Nước mắm Vinh Vân, OCOP 3 sao, OCOP Hà Tĩnh",,"Nước mắm Vinh Vân được chiết xuất từ cá cơm tươi chọn lọc, sản xuất theo phương pháp thủ công truyền thống, không pha trộn hương liệu, hóa chất tạo nên sản phẩm nước mắm sánh, màu vàng cánh gián, mùi thơm đặc trưng. Nước mắm Vinh Vân nổi tiếng vùng biển Cẩm Xuyên, nhận được sự lựa chọn tin dùng của người dân địa phương và du khách. Sản phẩm đã được cấp chứng nhận OCOP 3 sao của huyện Cẩm Xuyên, tỉnh Hà Tĩnh."
Mực khô Thanh Sáng,3,Hà Tĩnh,Mực khô,"Phân phối qua các đại lý, cửa hàng nông sản, các chợ trên địa bàn trong và ngoài tỉnh.","Mực khô Thanh Sáng, Mực khô, OCOP 3 sao, OCOP Hà Tĩnh",https://muckhothanhsang.vn/,"Mực khô Thanh Sáng không chỉ nổi tiếng ở Hà Tĩnh mà còn được người tiêu dùng ở nhiều vùng miền trên cả nước yêu thích. Nguồn gốc tự nhiên, hương vị mộc mạc nhưng sâu đậm tạo nên thương hiệu mực khô Thanh Sáng nổi tiếng thơm ngon đậm đà hương vị đặc trưng của vùng quê biển Cửa Nhượng. Sản phẩm đã được công nhận OCOP 3 sao của tỉnh Hà Tĩnh."
Mực khô Liễu Phượng,3,Hà Tĩnh,Mực khô,"Qua các đại lý, cửa hàng nông sản, các chợ trên địa bàn trong và ngoài tỉnh, các sàn thương mại điện tử, trang mạng xã hội...","mực khô, mực khô Liễu Phượng, OCOP Hà Tĩnh, OCOP 3 sao",,"Mực khô Liễu Phượng được chế biến từ những con tôm biển tươi được khai thác tại vùng biển Cẩm Nhượng, Hà Tĩnh. Sau khi sơ chế sạch, những con mực tươi được phơi trên giàn cách mặt đất 6m, phơi giữa cái nắng gắt của biển Cửa Nhượng, sau đó sấy khô tạo ra sản phẩm mực khô Liễu Phượng chất lượng tuyệt hảo, an toàn cho sức khỏe người tiêu dùng. Sản phẩm được cấp chứng nhận OCOP 3 sao của tỉnh Hà Tĩnh."
Trà mướp đắng Mai Hương,3,Hà Tĩnh,Trà mướp đắng,"Qua các đại lý, cửa hàng, các trang mạng xã hội facebook, zalo...","sản phẩm OCOP, OCOP 3 sao, trà mướp đắng, OCOP Hà Tĩnh, trà mướp đắng Mai Hương",,"Sản phẩm trà mướp đắng thương hiệu Mai Hương được chế biến từ quả mướp đắng của các hộ sản xuất xã Cẩm Trung theo tiêu chuẩn VietGap. Trái mướp đắng sau khi thu hoạch sẽ được lựa chọn kỹ càng, thái lát thủ công, sấy khô tự nhiên không sử dụng chất bảo quản, đóng gói cẩn thận đến tay người tiêu dùng. Sản phẩm đã được huyện Cẩm Xuyên, Hà Tĩnh công nhận OCOP 3 sao vào tháng 5/2024."
Nước mắm Thiên Trọng,3,Hà Tĩnh,,"Qua các đại lý, cửa hàng, sàn thương mại điện tử, các trang mạng xã hội, facebook, zalo...","nước mắm Thiên Trọng, OCOP Hà Tĩnh, OCOP 3 sao, nước mắm, đặc sản Hà Tĩnh",haisanthientrong.com,"Nước mắm Thiên Trọng được sản xuất theo phương pháp truyền thống với nguyên liệu là những mẻ cá cơm tươi ngon nhất được trộn đều với hạt muối trắng sạch của chính vùng biển Thiên Cầm, Hà Tĩnh, sau đó cho vào chum sành phơi nắng, phơi sương ủ chượp trên 12 tháng cho đến khi nước mắm có màu vàng cánh gián tự nhiên, hương thơm đặc trưng, đậm vị. Sản phẩm đã được công nhận OCOP 3 sao của huyện Cẩm Xuyên, tỉnh Hà Tĩnh."
Rượu nếp Hương Cẩm,3,Hà Tĩnh,Rượu,"Qua các đại lý, cửa hàng, các trang mạng xã hội như facebook, zalo...","rượu nếp Hương Cẩm, OCOP 3 sao, Hà Tĩnh, OCOP Hà Tĩnh, rượu nếp",ruouhuongcam.com,"Từ chính nguồn nguyên liệu sẵn có tại địa phương, dựa trên phương pháp lên men cổ truyền kết hợp chưng cất theo công nghệ hiện đại, chị Nguyễn Thị Nhân, Cẩm Xuyên, Hà Tĩnh đã tạo nên thương hiệu rượu nếp Hương Cẩm với hương vị cay nồng, tinh tế, hòa quyện cùng hương thơm thoang thoảng của gạo nếp. Sản phẩm đạt OCOP 3 sao và nhận được sự đón nhận của đông đảo khách hàng trong và ngoài địa phương."
Nem chua Hoài Võ,3,Hà Tĩnh,Nem chua,"Các đại lý, cửa hàng, sàn thương mại điện tử...","nem chua, nem chua Hoài Võ, Hà Tĩnh, OCOP Hà Tĩnh, OCOP 3 sao",,"Nem chua Hoài Võ được làm từ bì lợn thái chỉ, thịt mông nạc, thính gạo, tỏi, gói cùng lá đinh lăng hoặc lá ổi bánh tẻ và các gia vị đặc trưng, tạo ra một chiếc nem chua ngon theo bí quyết gia truyền. Sản phẩm đã được công nhận OCOP 3 sao của UBND huyện Can Lộc, tỉnh Hà Tĩnh."
Hương trầm Quốc Thạch,3,Hà Tĩnh,Trầm hương,,"Hương trầm Quốc Thạch, hương trầm, trầm hương, OCOP Hà Tĩnh, OCOP 3 sao",,"Hương trầm Quốc Thạch được làm từ các nguyên liệu tự nhiên như trầm hương, một loại gỗ quý có mùi thơm đặc trưng, nồng nàn, dễ chịu, giúp tạo cảm giác thư giãn, tĩnh tâm. Mùi hương có thể kéo dài trong nhiều giờ sau khi đốt. Sản phẩm thường được sử dụng trong thiền định, yoga, hoặc như một phương pháp thư giãn và làm sạch không khí."
Gà đồi Yên Thế,4,Bắc Giang,Thịt gà,"http://nongnghiepxanhyt.com/, các siêu thị, kênh bán lẻ","gà đồi Yên Thế, thịt gà, OCOP Bắc Giang, OCOP 4 sao, đặc sản Bắc Giang, HTX Nông nghiệp Xanh Yên Thế",http://nongnghiepxanhyt.com/,"Gà đồi Yên Thế có mã đẹp, thịt săn chắc, độ ngọt đậm đà, vị thơm đặc trưng. Sản phẩm đã được Ủy ban nhân dân tỉnh Bắc Giang cấp chứng nhận OCOP 4 sao vào tháng 12/2023."
Giò gà Yên Thế,4,Bắc Giang,Giò chả,"http://nongnghiepxanhyt.com/, các siêu thị, kênh bán lẻ","giò gà Yên Thế, giò gà, OCOP Bắc Giang, OCOP 4 sao, đặc sản Bắc Giang, HTX Nông nghiệp Xanh Yên Thế, giò chả",http://nongnghiepxanhyt.com/,"Giò gà của Hợp tác xã Nông nghiệp Xanh Yên Thế được chế biến từ thịt gà đồi Yên Thế nổi tiếng với thịt chắc, thơm ngon, ngọt, béo mà không ngậy. Sản phẩm đã được Ủy ban nhân dân tỉnh Bắc Giang công nhận OCOP 4 sao vào tháng 9/2022."
Chả gà Yên Thế,4,Bắc Giang,Giò chả,"http://nongnghiepxanhyt.com/, các siêu thị, kênh bán lẻ","chả gà, chả gà Yên Thế, OCOP Bắc Giang, OCOP 4 sao, dặc sản Bắc Giang, gà đồi Yên Thế, HTX Nông nghiệp Xanh Yên Thế, giò chả",http://nongnghiepxanhyt.com/,"Chả gà của Hợp tác xã Nông nghiệp Xanh Yên Thế được làm từ thịt gà đồi Yên Thế, đặc sản của tỉnh Bắc Giang, nổi tiếng với vị thơm, ngọt. Sản phẩm đã được Ủy ban nhân dân tỉnh Bắc Giang công nhận OCOP 4 sao."
Xúc xích gà Yên Thế,4,Bắc Giang,Xúc-xích,"http://nongnghiepxanhyt.com/, các siêu thị, kênh bán lẻ","xúc xúc gà Yên Thế, xúc xích gà, OCOP Bắc Giang, OCOP 4 sao, đặc sản Bắc Giang, gà đồi Yên Thế, HTX Nông nghiệp Xanh Yên Thế",http://nongnghiepxanhyt.com/,"Xúc xích gà của Hợp tác xã Nông nghiệp Xanh Yên Thế được làm từ thịt gà đồi Yên Thế, đặc sản của tỉnh Bắc Giang, nổi tiếng với vị thơm, ngọt. Sản phẩm đã được công nhận OCOP 4 sao vào tháng 12/2023."
Macca sấy nứt vỏ lọ,4,Lạng Sơn,Macca,"https://macasachilangson.com/, siêu thị, kênh bán hàng truyền thống và thương mại điện tử","hạt macca, OCOP Lạng Sơn, OCOP4 sao, đặc sản Lạng Sơn, macca Lạng Sơn, mắc ca sấy nứt vỏ",https://macasachilangson.com/,"Macca sấy nứt vỏ Lạng Sơn ngọt dịu, thơm, giòn, bùi, ngậy, giữ trọn vẹn hương vị tự nhiên, với vị béo ngậy nhẹ nhàng. Sản phẩm đã được công nhận OCOP 4 sao của tỉnh Lạng Sơn vào tháng 1/2024."
Rượu men lá người Dao Công Sơn,4,Lạng Sơn,Rượu men lá,"https://htxnncongson.com/, kênh bán hàng truyền thống và thương mại điện tử","rượu men lá, rượu men lá người Dao Công Sơn, OCOP 4 sao, Lạng Sơn, OCOP Lạng Sơn",https://htxnncongson.com/,"Rượu men lá người Dao được nấu từ nguồn nước lấy từ ruột đá non cao, cây làm men từ rừng rậm với 17 loại thảo dược. Đây là sản phẩm của Hợp tác xã Nông nghiệp Công Sơn, tỉnh Lạng Sơn, và đã được công nhận OCOP 4 sao của tỉnh vào tháng 1/2024."
Miến dong Nậm So,3,Lai Châu,,,"miến dong Nậm So, miến dong, OCOP Lai Châu, OCOP 3 sao, đặc sản Lai Châu",,"Miến dong Nậm So được làm củ dong riềng ngon của vùng Phong Thổ, Lai Châu với nhiều bột, ít xơ, ngọt dịu, thơm nhẹ. Sợi miến dai, không nát, ngọt thơm, đậm vị dong, không phụ gia, không hóa chất, giữ được nét ẩm thực truyền thống. Sản phẩm đã được công nhận OCOP 3 của huyện Phong Thổ, tỉnh Lai Châu."
Chè Ngọc Thúy,4,Lạng Sơn,Trà,"https://chelangson.com/, các siêu thị, sàn thương mại điện tử","chè Ngọc Thúy, OCOP Lạng Sơn, OCOP 4 sao, đặc sản Lạng Sơn, Công ty Chè Thái Bình Lạng Sơn, Lạng Sơn, trà",https://chelangson.com/,"Chè Ngọc Thúy là đặc sản huyện Đình Lập, với những búp chè thơm ngon, thuần khiết nhất. Chè Ngọc Thúy có hương thơm tự nhiên, vị chát đượm, hậu ngọt sau khi uống. Sản phẩm đã được Ủy ban nhân dân tỉnh Lạng Sơn công nhận OCOP 4 sao vào tháng 4/2022."
Bột nêm dinh dưỡng Tinh Hoa,3,Hà Tĩnh,Gia vị,"Qua các đại lý, cửa hàng, trang mạng xã hội facebook, zalo...","Bột nêm dinh dưỡng Tinh Hoa, cơ sở sản xuất Đông An, OCOP 3 sao, OCOP Hà Tĩnh",,"Bột nêm dinh dưỡng Tinh Hoa được sản xuất chủ yếu từ các nguyên liệu như muối rang xay, đường phèn, nấm sò tươi đạt OCOP 3 sao của cơ sở Sen Giáp, xã Thanh Lộc, huyện Can Lộc... Các nguồn nguyên liệu được chọn lọc kỹ càng, có nguồn gốc, được làm chín qua nhiệt, không dùng hóa chất, chất bảo quản. Bột nêm dinh dưỡng Tinh Hoa dùng trong chế biến các món xào, nấu kho, chay mặn đều được."
Chè Bát Tiên,4,Lạng Sơn,Trà,"https://chelangson.com/, các siêu thị, sàn thương mại điện tử","trà Bát Tiên, trà, OCOP Lạng Sơn, OCOP 4 sao, đặc sản Lạng Sơn, Công ty Chè Thái Bình Lạng Sơn, Lạng Sơn",https://chelangson.com/,"Chè Bát Tiên của Công ty Cổ phần chè Thái Bình Lạng Sơn có hương thơm tự nhiên, vị chát đượm, hậu ngọt sau khi uống vô cùng đặc sắc. Đây là loại chè thơm ngon đặc biệt và đã được cấp chứng nhận OCOP 4 sao của tỉnh Lạng Sơn."
Giò lụa Nhung Tuấn,3,Hà Tĩnh,Giò lụa,"Bán trực tiếp tại cơ sở sản xuất, các trang mạng xã hội facebook, zalo,...","giò lụa, giò lụa Nhung Tuấn, OCOP Hà Tĩnh, OCOP 3 sao, đặc sản Hà Tĩnh",,"Giò Nhung Tuấn được chế biến từ thịt lợn tươi, bảo đảm độ tươi ngon của thịt, đặc biệt là ít chất béo và các chất phụ gia nên phù hợp thị hiếu chung của người tiêu dùng. Sản phẩm đã được công nhận OCOP 3 sao của huyện Đức Thọ, tỉnh Hà Tĩnh."
Dầu vừng Mai Tĩnh,3,Hà Tĩnh,Dầu mè,"Trực tiếp tại cơ sở sản xuất xã Bùi La Nhân, huyện Đức Thọ, tỉnh Hà Tĩnh; qua các trang thương mại điện tử; trang mạng xã hội facebook, zalo...","dầu vừng Mai Tĩnh, dầu vừng, OCOP Hà Tĩnh, OCOP 3 sao, đặc sản Hà Tĩnh",,"Dầu vừng (dầu mè) Mai Tĩnh là sản phẩm nguyên chất được chế biến từ hạt vừng đen, không sử dụng chất bảo quản và chất tạo màu. Đây là loại dầu được nhiều người ưa chuộng không chỉ bởi gia tăng hương vị cho món ăn mà còn bởi những lợi ích tuyệt vời cho sức khỏe và làm đẹp."
Kẹo cu đơ Thỉnh Anh,3,Hà Tĩnh,Kẹo cu đơ,"Các đại lý, cửa hàng, trang mạng xã hội facebook, zalo...","kẹo cu đơ Hà Tĩnh, Kẹo cu đơ Thỉnh Anh, OCOP 3 sao, OCOP Hà Tĩnh, đặc sản Hà Tĩnh",,"Những chiếc kẹo cu đơ Thỉnh Anh được làm từ nguyên liệu sạch và bảo đảm an toàn vệ sinh thực phẩm, là sản phẩm OCOP 3 sao của huyện Kỳ Anh, tỉnh Hà Tĩnh. Với vị ngọt thơm của mật mía, cay cay của gừng tươi, giòn tan của lạc và bánh tráng vừng, thương hiệu kẹo cu đơ Thỉnh Anh đã từng bước khẳng định tên tuổi của mình trên thị trường trong và ngoài tỉnh."
Nước mắm Đại Hải Ngư,3,Hà Tĩnh,,"Qua các đại lý, cửa hàng, trang mạng xã hội facebook, zalo, sàn thương mại điện tử shopee,...","Nước mắm Đại Hải Ngư, sản phẩm OCOP 3 sao, Hà Tĩnh",,"Nước mắm Đại Hải Ngư được chế biến bởi nguyên liệu chính từ cá cơm tươi ngon chọn lọc cùng muối trắng tinh khiết, sử dụng công nghệ hiện đại kết hợp kinh nghiệm truyền thống, tạo nên những giọt nước mắm thơm, màu cánh gián tự nhiên, giữ được mùi vị đặc trưng, đậm đà hương vị biển cả được đông đảo người tiêu dùng lựa chọn. Sản phẩm đã được công nhận OCOP 3 sao của huyện Kỳ Anh, tỉnh Hà Tĩnh năm 2023."
Yến Kid's Kon Tum,3,Kon Tum,Yến sào,"https://yensaokontum.com/, các kênh bán hàng truyền thống và thương mại điện tử","yến sào Kon Tum, OCOP Kon Tum, đặc sản Kon Tum, yến sào, Yến Kid's Kon Tum, OCOP 4 sao",https://yensaokontum.com/,"Thực phẩm bổ sung Yến Kid’s Kon Tum được kết hợp giữa yến, đường phèn, nước, lysin, calci, taurine, vitamin D3,… an toàn cho trẻ em, bổ sung chăm sóc sức khỏe, cải thiện cơ thể. Sản phẩm đã được tỉnh Kon Tum công nhận OCOP 4 sao vào tháng 9/2022."
Cà-phê hòa tan sâm Ngọc Linh,3,Kon Tum,,"https://tumorong.com/, kênh bán hàng truyền thống và thương mại điện tử","sâm Ngọc Linh, cà-phê hòa tan sâm Ngọc Linh, OCOP Kon Tum, OCOP 3 sao, đặc sản Kon Tum, sâm Ngọc Linh Tu Mơ Rông, cà-phê Việt Nam, sâm Ngọc Linh Tu Mơ Rông Kon Tum",https://tumorong.com/,"Cà-phê sâm Ngọc Linh là đồ uống đặc biệt kết hợp cà-phê với sâm Ngọc Linh chứa hàm lượng Saponin, đặc biệt là Saponin MR2 và khoáng chất,... rất tốt cho cơ thể. Sản phẩm đã được Ủy ban nhân dân tỉnh Kon Tum cấp chứng nhận OCOP 3 sao vào tháng 1/2023."
Nước yến sâm Kon Tum,4,Kon Tum,Nước yến sâm,"https://yensaokontum.com/, các kênh bán hàng truyền thống và thương mại điện tử","yến sào Kon Tum, OCOP Kon Tum, OCOP 4 sao, đặc sản Kon Tum, nước yến sâm Kon Tum, yến sào, sâm Ngọc Linh",https://yensaokontum.com/,"Nước yến sâm Kon Tum được chế biến từ yến sào thiên nhiên và củ sâm dây Ngọc Linh, kết hợp với đường phèn và một số thành phần khác giúp bồi bổ, tăng cường sức khỏe. Sản phẩm đã được tỉnh Kon Tum công nhận OCOP 4 sao vào tháng 10/2021."
Thuốc chữa bệnh gan A Súa,3,Lai Châu,Thuốc chữa bệnh gan,ganasua.com,"OCOP Lai Châu, OCOP 3 sao, thuốc chữa bệnh gan, y học cổ truyền, thuốc chữa bệnh gan A Súa",ganasua.com ,"Thuốc chữa bệnh gan A Súa là bài thuốc gia truyền có công dụng điều trị viêm gan A, B, C, xơ gan, xơ gan cổ trướng, gan nhiễm mỡ, máu nhiễm mỡ, men gan tăng, sán lá gan. Sản phẩm đã được Sở Y tế tỉnh Lai Châu cấp Giấy chứng nhận bài thuốc gia truyền năm 2019 và được Ủy ban nhân dân tỉnh Lai Châu cấp chứng nhận OCOP 3 sao vào tháng 11/2021."
Rượu ba kích Tam Đảo,4,Vĩnh Phúc,Rượu,"https://minhphucan.com/, kênh bán hàng truyền thống, sàn thương mại điện tử","rượu ba kích Tam Đảo, OCOP Vĩnh Phúc, OCOP 4 sao, rượu nếp, ba kích, Minh Phúc An, ba kích Tam Đảo",https://minhphucan.com/,Rượu ba kích Tam Đảo có thành phần rượu gạo nếp và chiết xuất ba kích Tam Đảo. Sản phẩm đã được Ủy ban nhân dân tỉnh Vĩnh Phúc công nhận là sản phẩm OCOP 4 sao vào tháng 1/2024.
Rượu ba kích Tam Đảo sâm cau,4,Vĩnh Phúc,Rượu,"https://minhphucan.com/, kênh bán hàng truyền thống và thương mại điện tử","Rượu Ba kích Tam Đảo sâm cau, Vĩnh Phúc, OCOP Vĩnh Phúc, OCOP 4 sao, rượu nếp, ba kích, sâm cau, ba kích Tam Đảo, Minh Phúc An",https://minhphucan.com/,"Rượu ba kích Tam Đảo sâm cau được ủ từ cao ba kích Tam Đảo sâm cau với rượu gạo nếp sạch trong chum sành. Rượu có màu nâu hơi đậm, vị ngọt hơi chát, hương thơm đặc trưng của thảo dược. Sản phẩm đã được Ủy ban nhân dân tỉnh Vĩnh Phúc cấp chứng nhận OCOP 4 sao vào tháng 1/2024."
Rượu đông trùng hạ thảo với ba kích Tam Đảo,4,Vĩnh Phúc,Rượu,"https://minhphucan.com/, kênh bán hàng truyền thống và thương mại điện tử","OCOP Vĩnh Phúc, OCOP 4 sao, rượu nếp, đông trùng hạ thảo, ba kích, rượu đông trùng hạ thảo với ba kích Tam Đảm, Minh Phúc An, ba kích Tam Đảo",https://minhphucan.com/,Rượu đông trùng hạ thảo với ba kích Tam Đảo được làm từ rượu gạo nếp và chiết xuất hỗn hợp nấm đông trùng hạ thảo với cây ba kích trồng tại vùng núi Tam Đảo. Sản phẩm đã được Ủy ban nhân dân tỉnh Vĩnh Phúc cấp chứng nhận OCOP 4 sao vào tháng 1/2024.
Cà-phê pha phin Dehavi Pine Forest,4,Lâm Đồng,,"https://dehavi.com/, kênh bán hàng truyền thống, thương mại điện tử","Cà-phê pha phin Pine Forest, OCOP Lâm Đồng, OCOP 4 sao, cà-phê Lâm Đồng, cà-phê Nam Ban, cà-phê Việt Nam, Dehavi Coffee, Cà-phê Hân Vinh, đặc sản Lâm Đồng",https://dehavi.com/,"Cà-phê pha phin Dehavi Pine Forest là một sản phẩm OCOP 4 sao của tỉnh Lâm Đồng. Là sự kết hợp giữa 50% Robusta Nam Ban và 50% Arabica Cầu Đất, Pine Forest mang trong mình hương thơm nhẹ nhàng, đầy quyến rũ với chút vị chua thanh và hậu vị ngọt kéo dài."
Trà sâm núi Lai Châu,3,Lai Châu,Trà sâm,"https://samlaichau.vn/, kênh bán hàng truyền thống và thương mại điện tử","trà sâm núi Lai Châu, sâm Lai Châu, OCOP Lai Châu, OCOP 3 sao, đặc sản Lai Châu, sâm Việt Nam, HTX Bảo tồn và Phát triển giống sâm núi Lai Châu",https://samlaichau.vn/,"Trà sâm núi Lai Châu là một sản phẩm OCOP 3 sao của Hợp tác xã Bảo tồn và Phát triển giống sâm núi Lai Châu. Sản phẩm làm từ 100% lá sâm núi Lai Châu tự nhiên với hàm lượng Saponin cao, giúp ngăn ngừa ung thư, đem lại tinh thần tỉnh táo, bồi bổ cơ thể."
Cà-phê pha phin Dehavi Valley,4,Lâm Đồng,,"https://dehavi.com/, kênh bán hàng truyền thống, thương mại điện tử","Cà-phê pha phin Valley, OCOP Lâm Đồng, OCOP 4 sao, cà-phê Lâm Đồng, đặc sản Lâm Đồng, cà-phê Nam Ban, cà-phê Việt Nam, Dehavi Coffee, Cà-phê Hân Vinh",https://dehavi.com/,"Cà-phê pha phin Dehavi Valley là sản phẩm OCOP 4 sao của tỉnh Lâm Đồng. Với sự kết hợp giữa 70% Robusta Nam Ban và 30% Arabica Cầu Đất, Dehavi Valley mang đến hương vị cân bằng, nhẹ nhàng, đậm hương thơm và hậu vị mượt mà."
Trà sâm lá sen Lai Châu,3,Lai Châu,Trà sâm,"https://samlaichau.vn/, kênh bán hàng truyền thống và thương mại điện tử","trà sâm lá sen Lai Châu, trà sâm lá sen, sâm Lai Châu, OCOP Lai Châu, OCOP 3 sao, đặc sản Lai Châu, sâm núi Lai Châu, lá sen, HTX Bảo tồn và Phát triển giống sâm núi Lai Châu",https://samlaichau.vn/,"Trà sâm lá sen Lai Châu là một sản phẩm OCOP 3 sao của Hợp tác xã Bảo tồn và Phát triển giống sâm núi Lai Châu. Được phát triển từ trà sâm núi Lai Châu, với 70% lá sen và 30% lá sâm Lai Châu tự nhiên, loại trà thảo dược này giúp ngăn ngừa ung thư, giải nhiệt, chống lão hóa, đem lại sự tỉnh táo."
Cao nước atiso cỏ ngọt Ngọc Duy,4,Lâm Đồng,Cao atiso,"https://ngocduygroup.com/, kênh bán hàng truyền thống, thương mại điện tử","cao nước atiso Ngọc Duy, OCOP Lâm Đồng, OCOP 4 sao, Trà Ngọc Duy, đặc sản Lầm Đồng, atiso",https://ngocduygroup.com/,"Cao nước atiso cỏ ngọt Ngọc Duy làm từ 95% atiso và 5% cỏ ngọt, giúp sản phẩm có vị ngon không đắng, rất dễ uống, phù hợp nhiều đối tượng sử dụng. Sản phẩm giúp bảo vệ gan, thải độc, đẹp da, ngừa mụn. Cao đã được Ủy ban nhân dân tỉnh Lâm Đồng công nhận OCOP 4 sao vào tháng 1/2024."
Rượu gạo nếp Minh Phúc An,3,Vĩnh Phúc,Rượu,"https://minhphucan.com/, kênh bán hàng truyền thống và thương mại điện tử","rượu gạo nếp, OCOP 3 sao, Minh Phúc An, OCOP Vĩnh Phúc, Vĩnh Phúc",https://minhphucan.com/,"Rượu gạo nếp Minh Phúc An là một sản phẩm OCOP 3 sao của tỉnh Vĩnh Phúc. Sản phẩm sử dụng nguyên liệu gạo nếp địa phương sản xuất an toàn thực phẩm, áp dụng hệ thống thiết bị đồng bộ, tháp chưng cất đa tầng theo tiêu chuẩn, loại bỏ các chỉ tiêu độc tố."
Cao nước atiso sâm Ngọc Duy,4,Lâm Đồng,Cao atiso,"https://ngocduygroup.com/, kênh bán hàng truyền thống và thương mại điện tử, Shopee","cao nước atiso sâm, cao atiso, OCOP Lâm Đồng, OCOP 4 sao, đặc sản Lâm Đồng, atiso, Trà Ngọc Duy, nhân sâm",https://ngocduygroup.com/,"Cao atiso nước sâm là một sản phẩm cao cấp của Công ty Trà Ngọc Duy, có tác dụng bồi bổ sức khỏe, đồng thời mang lại hiệu quả cao hơn giúp thanh nhiệt, giải độc, mát gan, tiêu trừ mụn nhọt, làm đẹp da. Đây là sản phẩm đạt chứng nhận OCOP 4 sao của tỉnh Lâm Đồng."
Cao nước atiso không đường Ngọc Duy,4,Lâm Đồng,Cao atiso,"https://ngocduygroup.com/, kênh bán hàng truyền thống và thương mại điện tử, Shopee","cao nước atiso không đường, cao atiso, OCOP Lâm Đồng, OCOP 4 sao, đặc sản Lâm Đồng, Trà Ngọc Duy, atiso",https://ngocduygroup.com/,"Cao nước atiso không đường Ngọc Duy là sản phẩm 100% nguyên chất atiso đậm đặc, không chứa đường, không hương liệu, chất bảo quản. Sản phẩm có tác dụng giúp bảo vệ gan, thải độc, đẹp da, ngừa mụn và đã được Ủy ban nhân dân tỉnh Lâm Đồng công nhận OCOP 4 sao vào tháng 1/2024."
